210313	357879	2991
221494	361626	3372
221494	356520	1107
262367	269305	2257
262367	310127	1220
263253	269305	1064
269305	417281	4078
269305	344818	3333
269305	361626	3318
269305	262367	1168
269305	267868	1028
283195	396127	1184
304350	221494	1054
310127	262367	1313
344818	357879	5922
344818	417281	3227
344818	269305	3084
344818	275493	1881
356425	357879	3774
356425	223321	1221
357879	344818	6775
357879	356425	4800
359345	417281	6729
361626	269305	3372
361626	221494	3318
363676	417281	2479
417281	269305	4626
417281	359345	4253
417281	363676	4120
417281	344818	3623
