357879	344818	6775
359345	417281	6729
344818	357879	5922
357879	356425	4800
417281	269305	4626
417281	359345	4253
417281	363676	4120
269305	417281	4078
356425	357879	3774
417281	344818	3623
221494	361626	3372
361626	269305	3372
269305	344818	3333
269305	361626	3318
361626	221494	3318
344818	417281	3227
344818	269305	3084
210313	357879	2991
363676	417281	2479
262367	269305	2257
344818	275493	1881
310127	262367	1313
356425	223321	1221
262367	310127	1220
283195	396127	1184
269305	262367	1168
221494	356520	1107
263253	269305	1064
304350	221494	1054
269305	267868	1028
